Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,arrow part number,arrow price/stock,height,manufacturer_name,manufacturer_part_number,mouser part number,mouser price/stock
1,"Unpolarized capacitor, small symbol",C_Small,C2,10nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b49,,,,,,,
2,"Unpolarized capacitor, small symbol",C_Small,C3,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,,,,,,,
3,,C_Small-Device-ISM02A-rescue,C8,100nF,C_0805_2012Metric,1,,5c70984712875079b91f8b4c,,,,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C4C5,1uF,C_0805_2012Metric,2,~,5c70984712875079b91f8b50,,,,,,,
5,"Unpolarized capacitor, small symbol",C_Small,C1C6,10uF,C_0805_2012Metric,2,~,5c70984712875079b91f8b53,,,,,,,
6,,C_Small-Device-ISM02A-rescue,C7,10uF,C_0805_2012Metric,1,,5c70984712875079b91f8b53,,,,,,,
7,,D_ZENER-MLAB_D,D1,"BZV55C-5,6V",D_SMA,1,,5c70984512875079b91f88b2,,,,,,,
8,Light emitting diode,LED,D2,GREEN,LED_1206_2,1,~,5c70984412875079b91f8895,,,,,,,
9,"12-V, 3-Phase, Sensorless BLDC Motor Controller",DRV10975PWPR,IC1,DRV10987DPWPR,TSSOP-24_4.4x7.8mm_P0.65mm_PowerPAD,1,https://www.ti.com/lit/ds/symlink/drv10975.pdf?ts=1619503349914&ref_url=https%253A%252F%252Fwww.ti.com%252Fstore%252Fti%252Fen%252Fp%252Fproduct%252F%253Fp%253DDRV10975PWPR,649ebe2a76c82a1d3b578220,DRV10975PWPR,https://www.arrow.com/en/products/drv10975pwpr/texas-instruments?region=nac,1.2,Texas Instruments,DRV10987DPWPR,595-DRV10987DPWPR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/DRV10975PWPR?qs=OfeFRKQgECjjJ%252BDg0AsiSg%3D%3D
10,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J5,AUX,Straight_2x03,1,,,,,,,,,
11,"2x04 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x04_PARALLEL,J3,HEADER_2x04_PARALLEL,Straight_2x04,1,,,,,,,,,
12,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J2,I2C,Straight_2x05,1,,,,,,,,,
13,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J6,MOTOR,Straight_2x03,1,,,,,,,,,
14,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J10,PWR,Straight_2x03,1,,,,,,,,,
15,1x02 2.54 mm pitch header,HEADER_1x02,J11,WAGO,TerminalBlock_WAGO_236-102_1x02_P5.00mm_45Degree,1,,,,,,,,,
16,1x03 2.54 mm pitch header,HEADER_1x03,J12,WAGO,TerminalBlock_WAGO_236-103_1x03_P5.00mm_45Degree,1,,,,,,,,,
17,Inductor,L,L1,47uH DE0703-47,L_Ferrocore_DLG-0703,1,~,5c70984712875079b91f8b69,,,,,DE0703-47,,
18,"Resistor, small symbol",R_Small,R7,100R,R_0805_2012Metric,1,~,5c70984512875079b91f8977,,,,,,,
19,"Resistor, small symbol",R_Small,R6,160R,R_0805_2012Metric,1,~,5c70984512875079b91f897b,,,,,,,
20,"Resistor, small symbol",R_Small,R1R2R3,4k7,R_0805_2012Metric,3,~,5c70984612875079b91f8995,,,,,,,
